Etablissement	Nom de famille	Prenom	Date	Heure	ID National	Lib. Structure	Voeu 1	Voeu 2	Voeu 3	Voeu 4	Voeu 5
Lycée Beauregard	N747	P747	27/03/2026	13:30	120701936BE	PREMIERE GENERALE 5	Conf11	Conf3	Conf9	Conf4	TR6
Lycée Beauregard	N748	P748	27/03/2026	13:30	120722232JJ	PREMIERE STMG1	Conf12	Conf1	Conf6	Conf4	FM3
Lycée Beauregard	N749	P749	27/03/2026	13:30	120141107JG	PREMIERE GENERALE3	Conf12	Conf7	Conf3	Conf17	Conf8
Lycée Beauregard	N750	P750	27/03/2026	13:30	120229187JC	PREMIERE GENERALE3	Conf13	Conf19	Conf18	Conf12	Conf2
Lycée Beauregard	N751	P751	27/03/2026	13:30	120617824CH	PREMIERE GENERALE4	Conf3	Conf7	Conf14	TR5	FM3
Lycée Beauregard	N752	P752	27/03/2026	13:30	110815750FH	PREMIERE GENERALE 7	Conf19	Conf15	Conf4	Conf18	TR2
Lycée Claude Lebois	N753	P753	27/03/2026	14:15	120411505CH	1ERE1	Conf9	Conf8	Conf7	TR4	FM6
Lycée Claude Lebois	N754	P754	27/03/2026	14:15	120875495JF	1STMG2	Conf12	Conf18	Conf4	FM4	FM2
Lycée Claude Lebois	N755	P755	27/03/2026	14:15	110485411BE	1STMG2	Conf6	Conf4	Conf1	Conf2	FM1
Lycée Claude Lebois	N756	P756	27/03/2026	14:15	110407010DK	1ERE4	Conf17	Conf10	Conf16	Conf19	Conf4
Lycée Claude Lebois	N757	P757	27/03/2026	14:15	110407009EA	1ERE5	Conf3	Conf17	Conf11	Conf15	FM6
Lycée Claude Lebois	N758	P758	27/03/2026	14:15	120338783KG	1ERE2	Conf12	Conf2	Conf16	Conf7	TR3
Lycée Claude Lebois	N759	P759	27/03/2026	14:15	120338076CH	1ERE5	Conf14	Conf8	Conf2	FM1	Conf19
Lycée Claude Lebois	N760	P760	27/03/2026	14:15	120338081CC	1STMG1	Conf5	Conf13	Conf18	Conf4	Conf3
Lycée Claude Lebois	N761	P761	27/03/2026	14:15	120338318HG	1ERE4	Conf12	Conf18	Conf11	Conf5	Conf15
Lycée Claude Lebois	N762	P762	27/03/2026	14:15	120651475DF	1ERE4	Conf11	Conf7	Conf17	Conf1	Conf5
Lycée Claude Lebois	N763	P763	27/03/2026	14:15	120140381DG	1STMG2	Conf14	Conf13	Conf4	TR3	FM2
Lycée Claude Lebois	N764	P764	27/03/2026	14:15	120688706FC	1STMG1	Conf17	Conf11	Conf8	Conf1	Conf10
Lycée Claude Lebois	N765	P765	27/03/2026	14:15	120338331GD	1STI2D	Conf13	Conf12	Conf3	Conf1	Conf2
Lycée Claude Lebois	N766	P766	27/03/2026	14:15	120564577CB	1STI2D	Conf8	Conf9	Conf6	Conf13	FM5
Lycée Claude Lebois	N767	P767	27/03/2026	14:15	150902177EE	1STMG2	Conf14	Conf9	Conf13	Conf18	Conf2
Lycée Claude Lebois	N768	P768	27/03/2026	14:15	120651438HC	1ERE5	Conf18	Conf4	Conf15	TR3	Conf1
Lycée Claude Lebois	N769	P769	27/03/2026	14:15	120501462JG	1ERE5	Conf1	Conf15	Conf4	TR5	Conf19
Lycée Claude Lebois	N770	P770	27/03/2026	14:15	120338308JG	1STI2D	Conf14	Conf4	Conf6	Conf12	Conf2
Lycée Claude Lebois	N771	P771	27/03/2026	14:15	120140730HF	1ERE3	Conf18	Conf2	Conf8	Conf6	Conf5
Lycée Claude Lebois	N772	P772	27/03/2026	14:15	120688847AJ	1ERE1	Conf16	Conf3	Conf6	TR1	Conf17
Lycée Claude Lebois	N773	P773	27/03/2026	14:15	120338292AF	1ERE4	Conf15	Conf14	Conf3	FM4	TR5
Lycée Claude Lebois	N774	P774	27/03/2026	14:15	110770090DA	1STMG1	Conf10	Conf15	Conf11	Conf8	Conf6
Lycée Claude Lebois	N775	P775	27/03/2026	14:15	120865524GF	1STMG2	Conf14	Conf16	Conf11	TR6	Conf4
Lycée Claude Lebois	N776	P776	27/03/2026	14:15	120592772FD	1STI2D	Conf4	Conf17	Conf2	FM4	Conf6
Lycée Claude Lebois	N777	P777	27/03/2026	14:15	140874131DG	1ERE1	Conf10	Conf15	Conf19	FM1	Conf8
Lycée Claude Lebois	N778	P778	27/03/2026	14:15	120746274AF	1STMG2	Conf3	Conf12	Conf11	FM1	TR5
Lycée Claude Lebois	N779	P779	27/03/2026	14:15	120592953GG	1ERE2	Conf4	Conf3	Conf19	Conf17	TR1
Lycée Claude Lebois	N780	P780	27/03/2026	14:15	100520678DE	1ERE4	Conf19	Conf1	Conf17	FM3	Conf4
Lycée Claude Lebois	N781	P781	27/03/2026	14:15	120442761AF	1STMG1	Conf17	Conf19	Conf4	Conf8	Conf15
Lycée Claude Lebois	N782	P782	27/03/2026	14:15	120338702JA	1ERE5	Conf19	Conf2	Conf4	Conf11	TR2
Lycée Claude Lebois	N783	P783	27/03/2026	14:15	120593074EC	1ERE2	Conf2	Conf9	Conf15	Conf19	TR1
Lycée Claude Lebois	N784	P784	27/03/2026	14:15	120410666KA	1ERE4	Conf11	Conf16	Conf18	Conf13	Conf19
Lycée Claude Lebois	N785	P785	27/03/2026	14:15	110649597EK	1ERE1	Conf15	Conf3	Conf9	TR5	Conf13
Lycée Claude Lebois	N786	P786	27/03/2026	14:15	213116082KG	1STMG1	Conf18	Conf4	Conf16	FM5	Conf19
Lycée Claude Lebois	N787	P787	27/03/2026	14:15	120338364DA	1STMG2	Conf6	Conf16	Conf13	Conf1	Conf9
Lycée Claude Lebois	N788	P788	27/03/2026	14:15	120651367EG	1ERE1	Conf18	Conf4	Conf5	Conf8	Conf12
Lycée Claude Lebois	N789	P789	27/03/2026	14:15	120410898FC	1ERE5	Conf17	Conf8	Conf2	TR3	FM4
Lycée Claude Lebois	N790	P790	27/03/2026	14:15	120338306JJ	1ERE3	Conf16	Conf4	Conf14	Conf8	TR1
Lycée Claude Lebois	N791	P791	27/03/2026	14:15	111043683HE	1ERE2	Conf15	Conf17	Conf9	Conf13	TR4
Lycée Claude Lebois	N792	P792	27/03/2026	14:15	120688838BH	1STMG1	Conf15	Conf17	Conf19	FM2	TR6
Lycée Claude Lebois	N793	P793	27/03/2026	14:15	120141293KE	1STMG2	Conf10	Conf8	Conf9	Conf19	Conf5
Lycée Claude Lebois	N794	P794	27/03/2026	14:15	120688851AE	1STI2D	Conf18	Conf9	Conf8	Conf12	Conf11
Lycée Claude Lebois	N795	P795	27/03/2026	14:15	120651455FF	1ERE2	Conf9	Conf1	Conf2	Conf14	Conf8
Lycée Claude Lebois	N796	P796	27/03/2026	14:15	120140866DG	1ERE4	Conf1	Conf11	Conf13	TR4	TR6
Lycée Claude Lebois	N797	P797	27/03/2026	14:15	110210200DG	1ERE2	Conf16	Conf3	Conf15	Conf17	TR1
Lycée Claude Lebois	N798	P798	27/03/2026	14:15	120449136DC	1STMG2	Conf8	Conf4	Conf10	TR3	TR2
Lycée Claude Lebois	N799	P799	27/03/2026	14:15	120564962CE	1STMG2	Conf18	Conf19	Conf7	Conf8	TR2
Lycée Claude Lebois	N800	P800	27/03/2026	14:15	120338781AB	1ERE5	Conf4	Conf1	Conf8	TR5	Conf18
Lycée Claude Lebois	N801	P801	27/03/2026	14:15	110066673AD	1STI2D	Conf9	Conf18	Conf13	Conf5	Conf3
Lycée Claude Lebois	N802	P802	27/03/2026	14:15	110485419AG	1ERE5	Conf14	Conf1	Conf19	Conf16	TR1
Lycée Claude Lebois	N803	P803	27/03/2026	14:15	120865982KC	1ERE5	Conf16	Conf14	Conf17	FM1	Conf13
Lycée Claude Lebois	N804	P804	27/03/2026	14:15	120411265HD	1ERE1	Conf13	Conf2	Conf5	Conf12	Conf19
Lycée Claude Lebois	N805	P805	27/03/2026	14:15	120502345HG	1ERE5	Conf2	Conf9	Conf4	Conf17	FM3
Lycée Claude Lebois	N806	P806	27/03/2026	14:15	110784954AH	1STMG2	Conf17	Conf5	Conf15	TR6	Conf10
Lycée Claude Lebois	N807	P807	27/03/2026	14:15	110880335HE	1STI2D	Conf1	Conf12	Conf10	FM5	TR6
Lycée Claude Lebois	N808	P808	27/03/2026	14:15	120337537JB	1STMG2	Conf16	Conf3	Conf9	TR1	TR6
Lycée Claude Lebois	N809	P809	27/03/2026	14:15	110916080CF	1STMG1	Conf10	Conf16	Conf3	Conf11	Conf8
Lycée Claude Lebois	N810	P810	27/03/2026	14:15	120501461JH	1ERE1	Conf1	Conf9	Conf17	TR4	Conf11
Lycée Claude Lebois	N811	P811	27/03/2026	14:15	110749230DF	1STMG1	Conf13	Conf11	Conf9	Conf4	FM6
Lycée Claude Lebois	N812	P812	27/03/2026	14:15	120501567HJ	1STMG2	Conf2	Conf6	Conf10	Conf8	Conf17
Lycée Claude Lebois	N813	P813	27/03/2026	14:15	130360794CJ	1ERE3	Conf19	Conf2	Conf12	Conf6	Conf1
Lycée Claude Lebois	N814	P814	27/03/2026	14:15	120593084DC	1ERE3	Conf7	Conf9	Conf12	Conf18	TR3
Lycée Claude Lebois	N815	P815	27/03/2026	14:15	120449208FH	1ERE4	Conf16	Conf11	Conf19	TR3	FM2
Lycée Claude Lebois	N816	P816	27/03/2026	14:15	120745151GB	1STI2D	Conf1	Conf10	Conf14	FM2	FM1
Lycée Claude Lebois	N817	P817	27/03/2026	14:15	120564094BK	1STMG2	Conf7	Conf9	Conf13	Conf3	FM5
Lycée Claude Lebois	N818	P818	27/03/2026	14:15	120845938FH	1ERE1	Conf18	Conf19	Conf11	TR4	Conf5
Lycée Claude Lebois	N819	P819	27/03/2026	14:15	120502374EH	1ERE1	Conf8	Conf18	Conf5	Conf10	Conf3
Lycée Claude Lebois	N820	P820	27/03/2026	14:15	120410872HJ	1ERE3	Conf4	Conf13	Conf1	TR6	TR2
Lycée Claude Lebois	N821	P821	27/03/2026	14:15	120745153FK	1ERE3	Conf17	Conf16	Conf3	FM6	TR4
Lycée Claude Lebois	N822	P822	27/03/2026	14:15	120411430AF	1ERE2	Conf11	Conf18	Conf5	Conf19	FM4
Lycée Claude Lebois	N823	P823	27/03/2026	14:15	120501533BF	1STMG1	Conf4	Conf12	Conf17	Conf7	TR2
Lycée Claude Lebois	N824	P824	27/03/2026	14:15	120487873KF	1ERE5	Conf8	Conf3	Conf4	TR2	Conf16
Lycée Claude Lebois	N825	P825	27/03/2026	14:15	120338154EG	1ERE1	Conf16	Conf7	Conf15	Conf11	Conf5
Lycée Claude Lebois	N826	P826	27/03/2026	14:15	120501512DG	1ERE5	Conf8	Conf7	Conf2	FM4	Conf4
Lycée Claude Lebois	N827	P827	27/03/2026	14:15	120502346HF	1ERE2	Conf9	Conf12	Conf19	Conf13	TR3
Lycée Claude Lebois	N828	P828	27/03/2026	14:15	120593078DJ	1ERE3	Conf9	Conf11	Conf4	Conf7	TR2
Lycée Claude Lebois	N829	P829	27/03/2026	14:15	120593127JG	1STMG2	Conf11	Conf16	Conf9	Conf1	TR5
Lycée Claude Lebois	N830	P830	27/03/2026	14:15	101084278AE	1ERE4	Conf1	Conf14	Conf18	FM3	TR4
Lycée Claude Lebois	N831	P831	27/03/2026	14:15	120651401BC	1ERE5	Conf8	Conf15	Conf18	Conf7	Conf16
Lycée Claude Lebois	N832	P832	27/03/2026	14:15	120565132EJ	1STMG1	Conf18	Conf3	Conf12	Conf2	TR2
Lycée Claude Lebois	N833	P833	27/03/2026	14:15	120865979KF	1ERE2	Conf18	Conf9	Conf14	TR2	FM2
Lycée Claude Lebois	N834	P834	27/03/2026	14:15	203039533KB	1ERE1	Conf13	Conf3	Conf11	FM5	Conf10
Lycée Claude Lebois	N835	P835	27/03/2026	14:15	110485671EF	1ERE5	Conf13	Conf7	Conf6	FM4	Conf16
Lycée Claude Lebois	N836	P836	27/03/2026	14:15	120564584BE	1ERE2	Conf9	Conf8	Conf18	Conf17	TR6
Lycée Claude Lebois	N837	P837	27/03/2026	14:15	110406902FA	1ERE2	Conf17	Conf1	Conf6	Conf12	FM4
Lycée Claude Lebois	N838	P838	27/03/2026	14:15	120593092CE	1STMG2	Conf12	Conf9	Conf1	Conf6	Conf19
Lycée Claude Lebois	N839	P839	27/03/2026	14:15	120141048EJ	1ERE2	Conf13	Conf7	Conf9	Conf10	Conf15
Lycée Claude Lebois	N840	P840	27/03/2026	14:15	130916943HH	1STMG2	Conf2	Conf19	Conf12	Conf11	Conf17
Lycée Claude Lebois	N841	P841	27/03/2026	14:15	110209978GE	1ERE3	Conf3	Conf7	Conf12	FM5	Conf15
Lycée Claude Lebois	N842	P842	27/03/2026	14:15	120688820DF	1STI2D	Conf6	Conf3	Conf12	TR6	Conf15
Lycée Claude Lebois	N843	P843	27/03/2026	14:15	110733409EF	1ERE5	Conf15	Conf8	Conf1	TR5	FM2
Lycée Claude Lebois	N844	P844	27/03/2026	14:15	120564092CB	1ERE2	Conf17	Conf11	Conf6	FM2	FM6
Lycée Claude Lebois	N845	P845	27/03/2026	14:15	203047725EH	1ERE4	Conf18	Conf17	Conf9	Conf6	Conf8
Lycée Claude Lebois	N846	P846	27/03/2026	14:15	110552970GE	1ERE4	Conf1	Conf11	Conf19	FM6	Conf2
Lycée Claude Lebois	N847	P847	27/03/2026	14:15	120810274CF	1ERE5	Conf1	Conf2	Conf16	Conf5	FM4
Lycée Claude Lebois	N848	P848	27/03/2026	14:15	120337843GG	1STMG1	Conf7	Conf3	Conf18	FM4	Conf19
Lycée Claude Lebois	N849	P849	27/03/2026	14:15	120593301AK	1ERE5	Conf15	Conf9	Conf8	TR4	Conf14
Lycée Claude Lebois	N850	P850	27/03/2026	14:15	223060067GG	1ERE5	Conf13	Conf16	Conf12	Conf19	Conf18
Lycée Claude Lebois	N851	P851	27/03/2026	14:15	160867109BK	1STMG2	Conf5	Conf12	Conf13	Conf2	Conf14
Lycée Claude Lebois	N852	P852	27/03/2026	14:15	120501555KA	1ERE5	Conf4	Conf3	Conf1	TR5	Conf6
Lycée Claude Lebois	N853	P853	27/03/2026	14:15	120593068EJ	1ERE2	Conf10	Conf7	Conf6	TR1	Conf14
Lycée Claude Lebois	N854	P854	27/03/2026	14:15	120564076DH	1ERE3	Conf13	Conf9	Conf5	Conf14	Conf19
Lycée Claude Lebois	N855	P855	27/03/2026	14:15	120746276AD	1STMG1	Conf17	Conf9	Conf19	Conf13	TR3
Lycée Claude Lebois	N856	P856	27/03/2026	14:15	120338086BH	1ERE5	Conf5	Conf15	Conf7	Conf2	Conf17
Lycée Claude Lebois	N857	P857	27/03/2026	14:15	120745155FH	1STMG2	Conf19	Conf14	Conf10	Conf16	Conf2
Lycée Claude Lebois	N858	P858	27/03/2026	14:15	120140433JB	1STMG1	Conf4	Conf6	Conf18	Conf5	TR2
Lycée Claude Lebois	N859	P859	27/03/2026	14:15	203012301GG	1ERE1	Conf2	Conf4	Conf17	Conf13	Conf10
Lycée Claude Lebois	N860	P860	27/03/2026	14:15	120885458BG	1ERE1	Conf19	Conf18	Conf17	TR5	Conf14
Lycée Claude Lebois	N861	P861	27/03/2026	14:15	253050770BH	1ERE3	Conf11	Conf2	Conf6	Conf17	Conf14
Lycée Claude Lebois	N862	P862	27/03/2026	14:15	120563924KC	1ERE3	Conf1	Conf12	Conf14	FM1	TR2
Lycée Claude Lebois	N863	P863	27/03/2026	14:15	120810239GA	1ERE3	Conf5	Conf2	Conf9	FM6	FM5
Lycée Claude Lebois	N864	P864	27/03/2026	14:15	150701028BF	1STMG1	Conf17	Conf8	Conf5	TR2	TR6
Lycée Claude Lebois	N865	P865	27/03/2026	14:15	120593095CB	1ERE1	Conf5	Conf1	Conf12	TR1	Conf7
Lycée Claude Lebois	N866	P866	27/03/2026	14:15	120846049ED	1ERE1	Conf8	Conf5	Conf12	FM3	TR3
Lycée Claude Lebois	N867	P867	27/03/2026	14:15	110066629EH	1ERE1	Conf11	Conf3	Conf16	Conf8	Conf13
Lycée Claude Lebois	N868	P868	27/03/2026	14:15	120410247CE	1ERE2	Conf15	Conf19	Conf11	Conf8	Conf7
Lycée Claude Lebois	N869	P869	27/03/2026	14:15	120650812BK	1ERE3	Conf7	Conf10	Conf15	TR2	Conf2
Lycée Claude Lebois	N870	P870	27/03/2026	14:15	120140555FG	1ERE4	Conf9	Conf17	Conf11	Conf19	Conf4
Lycée Claude Lebois	N871	P871	27/03/2026	14:15	120202923FK	1STI2D	Conf16	Conf9	Conf10	TR6	Conf6
Lycée Claude Lebois	N872	P872	27/03/2026	14:15	110553223AF	1ERE5	Conf19	Conf10	Conf9	Conf13	TR3
Lycée Claude Lebois	N873	P873	27/03/2026	14:15	120668455DA	1STMG1	Conf17	Conf1	Conf9	Conf8	Conf5
Lycée Claude Lebois	N874	P874	27/03/2026	14:15	120651480DA	1ERE1	Conf10	Conf6	Conf11	Conf17	Conf8
Lycée Claude Lebois	N875	P875	27/03/2026	14:15	120338140GA	1ERE4	Conf18	Conf2	Conf9	TR4	Conf4
Lycée Claude Lebois	N876	P876	27/03/2026	14:15	120502393CJ	1ERE5	Conf14	Conf3	Conf19	FM6	Conf15
Lycée Claude Lebois	N877	P877	27/03/2026	14:15	120592969FA	1ERE3	Conf6	Conf2	Conf4	TR3	Conf17
Lycée Claude Lebois	N878	P878	27/03/2026	14:15	120564086CH	1ERE3	Conf1	Conf3	Conf19	FM1	TR1
Lycée Claude Lebois	N879	P879	27/03/2026	14:15	110553128AD	1STMG2	Conf13	Conf10	Conf5	TR6	TR3
Lycée Claude Lebois	N880	P880	27/03/2026	14:15	120668464CB	1STI2D	Conf8	Conf1	Conf11	Conf3	FM3
Lycée Claude Lebois	N881	P881	27/03/2026	14:15	110485296DC	1ERE1	Conf15	Conf16	Conf5	Conf3	Conf1
Lycée Claude Lebois	N882	P882	27/03/2026	14:15	120410959JJ	1STI2D	Conf7	Conf16	Conf17	Conf6	TR5
Lycée Claude Lebois	N883	P883	27/03/2026	14:15	120501467JB	1ERE3	Conf3	Conf11	Conf6	FM2	Conf4
Lycée Claude Lebois	N884	P884	27/03/2026	14:15	110406997FC	1STMG2	Conf4	Conf13	Conf1	TR1	FM2
Lycée Claude Lebois	N885	P885	27/03/2026	14:15	100493066AB	1STMG2	Conf2	Conf17	Conf15	FM6	TR5
Lycée Claude Lebois	N886	P886	27/03/2026	14:15	120411511CB	1ERE2	Conf9	Conf8	Conf13	FM6	Conf17
Lycée Claude Lebois	N887	P887	27/03/2026	14:15	110553135KD	1ERE4	Conf18	Conf19	Conf6	FM3	Conf13
Lycée Claude Lebois	N888	P888	27/03/2026	14:15	120688700FJ	1ERE4	Conf4	Conf3	Conf9	Conf17	FM5
Lycée Claude Lebois	N889	P889	27/03/2026	14:15	120593064FC	1ERE5	Conf5	Conf2	Conf16	Conf7	FM5
Lycée Claude Lebois	N890	P890	27/03/2026	14:15	160570740FD	1STMG1	Conf13	Conf15	Conf6	Conf9	TR6
Lycée Claude Lebois	N891	P891	27/03/2026	14:15	110553137KB	1ERE3	Conf19	Conf13	Conf3	Conf1	Conf7
Lycée Claude Lebois	N892	P892	27/03/2026	14:15	110996999AE	1STI2D	Conf18	Conf10	Conf11	Conf8	Conf15
Lycée Claude Lebois	N893	P893	27/03/2026	14:15	120140873CK	1STMG2	Conf3	Conf8	Conf6	Conf11	Conf16
Lycée Claude Lebois	N894	P894	27/03/2026	14:15	233167356JA	1ERE2	Conf10	Conf15	Conf6	Conf4	FM5
Lycée Claude Lebois	N895	P895	27/03/2026	14:15	110748962BC	1STMG2	Conf18	Conf13	Conf15	TR4	FM2
Lycée Claude Lebois	N896	P896	27/03/2026	14:15	120101622KC	1ERE3	Conf15	Conf4	Conf1	Conf2	Conf17
Lycée Claude Lebois	N897	P897	27/03/2026	14:15	120338302KC	1ERE1	Conf5	Conf11	Conf7	TR1	Conf2
Lycée Claude Lebois	N898	P898	27/03/2026	14:15	120902163KC	1ERE1	Conf16	Conf5	Conf1	FM1	Conf8
Lycée Claude Lebois	N899	P899	27/03/2026	14:15	110485366FK	1ERE2	Conf7	Conf12	Conf1	Conf11	FM5
Lycée Claude Lebois	N900	P900	27/03/2026	14:15	120411029BJ	1ERE2	Conf1	Conf8	Conf13	Conf17	Conf18
Lycée Claude Lebois	N901	P901	27/03/2026	14:15	120614960HJ	1ERE1	Conf19	Conf17	Conf15	Conf11	Conf3
Lycée Claude Lebois	N902	P902	27/03/2026	14:15	110406975HE	1STMG1	Conf8	Conf3	Conf12	Conf16	FM2
Lycée Claude Lebois	N903	P903	27/03/2026	14:15	130913716AG	1STI2D	Conf16	Conf2	Conf7	FM2	TR5
Lycée Claude Lebois	N904	P904	27/03/2026	14:15	110485385EA	1STMG1	Conf12	Conf6	Conf17	Conf2	Conf9
Lycée Claude Lebois	N905	P905	27/03/2026	14:15	110209958JE	1STMG1	Conf1	Conf11	Conf10	Conf14	Conf7
Lycée Claude Lebois	N906	P906	27/03/2026	14:15	120140542GK	1ERE4	Conf17	Conf19	Conf3	TR6	Conf11
Lycée Claude Lebois	N907	P907	27/03/2026	14:15	120410969HJ	1ERE2	Conf2	Conf8	Conf6	Conf12	TR3
Lycée Claude Lebois	N908	P908	27/03/2026	14:15	120338134GG	1ERE2	Conf16	Conf15	Conf10	FM2	TR2
Lycée Claude Lebois	N909	P909	27/03/2026	14:15	110485428KE	1ERE3	Conf12	Conf1	Conf2	TR4	Conf3
Lycée Claude Lebois	N910	P910	27/03/2026	14:15	120865966BB	1ERE1	Conf13	Conf16	Conf9	TR2	FM3
Lycée Claude Lebois	N911	P911	27/03/2026	14:15	120410984GD	1ERE2	Conf13	Conf15	Conf5	Conf2	Conf12
Lycée Claude Lebois	N912	P912	27/03/2026	14:15	110407112DE	1ERE2	Conf12	Conf10	Conf6	FM6	Conf13
Lycée Claude Lebois	N913	P913	27/03/2026	14:15	120746277AC	1ERE3	Conf7	Conf9	Conf19	Conf10	Conf4
Lycée Claude Lebois	N914	P914	27/03/2026	14:15	120746204HF	1ERE3	Conf13	Conf9	Conf7	Conf2	TR2
Lycée Claude Lebois	N915	P915	27/03/2026	14:15	110210369GB	1ERE3	Conf8	Conf18	Conf14	Conf10	Conf19
Lycée Claude Lebois	N916	P916	27/03/2026	14:15	120651454FG	1ERE4	Conf15	Conf16	Conf14	Conf19	TR4
Lycée Claude Lebois	N917	P917	27/03/2026	14:15	203039067HC	1ERE5	Conf8	Conf9	Conf5	TR2	Conf18
Lycée Claude Lebois	N918	P918	27/03/2026	14:15	120476568FB	1ERE4	Conf14	Conf3	Conf18	Conf9	FM5
Lycée Claude Lebois	N919	P919	27/03/2026	14:15	120651474DG	1STI2D	Conf2	Conf8	Conf3	Conf14	Conf17
Lycée Claude Lebois	N920	P920	27/03/2026	14:15	253108246GC	1ERE2	Conf1	Conf12	Conf18	FM2	Conf13
Lycée Claude Lebois	N921	P921	27/03/2026	14:15	203000259JA	1ERE5	Conf6	Conf1	Conf2	Conf14	Conf11
Lycée Claude Lebois	N922	P922	27/03/2026	14:15	120338126HE	1ERE2	Conf15	Conf12	Conf19	TR1	FM5
Lycée Claude Lebois	N923	P923	27/03/2026	14:15	120338116JE	1STMG1	Conf5	Conf9	Conf15	FM2	Conf6
Lycée Claude Lebois	N924	P924	27/03/2026	14:15	120501691FB	1ERE3	Conf1	Conf3	Conf15	TR6	Conf13
Lycée Claude Lebois	N925	P925	27/03/2026	14:15	120140682CG	1ERE4	Conf7	Conf13	Conf1	Conf11	Conf3
Lycée Claude Lebois	N926	P926	27/03/2026	14:15	120592946HD	1ERE4	Conf18	Conf6	Conf7	TR4	Conf17
Lycée Claude Lebois	N927	P927	27/03/2026	14:15	110600547BH	1ERE2	Conf9	Conf2	Conf13	Conf4	FM3
Lycée Claude Lebois	N928	P928	27/03/2026	14:15	120745761DD	1STMG1	Conf15	Conf16	Conf5	Conf3	FM6
Lycée Claude Lebois	N929	P929	27/03/2026	14:15	110407170HD	1STMG2	Conf3	Conf11	Conf16	TR4	Conf15
Lycée Claude Lebois	N930	P930	27/03/2026	14:15	110749231DE	1ERE4	Conf11	Conf8	Conf3	FM1	Conf1
Lycée Claude Lebois	N931	P931	27/03/2026	14:15	120410975HC	1STMG1	Conf11	Conf7	Conf14	Conf16	Conf9
Lycée Claude Lebois	N932	P932	27/03/2026	14:15	120688818DH	1ERE2	Conf8	Conf11	Conf18	TR4	Conf2
Lycée Claude Lebois	N933	P933	27/03/2026	14:15	120746641CG	1ERE3	Conf6	Conf11	Conf17	FM6	TR1
Lycée Claude Lebois	N934	P934	27/03/2026	14:15	120592963FG	1ERE1	Conf18	Conf17	Conf7	FM2	Conf11
Lycée Claude Lebois	N935	P935	27/03/2026	14:15	120501621CE	1ERE3	Conf10	Conf11	Conf12	TR3	Conf15
Lycée Claude Lebois	N936	P936	27/03/2026	14:15	120411030BH	1ERE3	Conf18	Conf2	Conf15	Conf16	TR1
Lycée Claude Lebois	N937	P937	27/03/2026	14:15	120362617CH	1ERE5	Conf10	Conf12	Conf7	Conf8	Conf11
Lycée Claude Lebois	N938	P938	27/03/2026	14:15	140717799AE	1STI2D	Conf11	Conf12	Conf5	Conf15	FM6
Lycée Claude Lebois	N939	P939	27/03/2026	14:15	110179881KB	1STMG1	Conf13	Conf16	Conf5	FM6	Conf3
Lycée Claude Lebois	N940	P940	27/03/2026	14:15	120501460JJ	1STMG2	Conf9	Conf2	Conf13	TR1	FM6
Lycée Claude Lebois	N941	P941	27/03/2026	14:15	120501545AD	1STMG1	Conf1	Conf18	Conf9	Conf16	FM5
Lycée Claude Lebois	N942	P942	27/03/2026	14:15	120410970HH	1ERE4	Conf17	Conf5	Conf16	Conf15	FM5
Lycée Claude Lebois	N943	P943	27/03/2026	14:15	120564589AK	1ERE5	Conf12	Conf11	Conf16	TR6	TR1
Lycée Claude Lebois	N944	P944	27/03/2026	14:15	120338108KC	1STMG1	Conf17	Conf5	Conf18	Conf7	FM3
Lycée Claude Lebois	N945	P945	27/03/2026	14:15	120720849BG	1ERE1	Conf16	Conf19	Conf17	FM5	Conf10
Lycée Claude Lebois	N946	P946	27/03/2026	14:15	120338100AD	1STI2D	Conf3	Conf12	Conf18	TR3	Conf4
Lycée Claude Lebois	N947	P947	27/03/2026	14:15	203044074BC	1ERE5	Conf17	Conf5	Conf4	Conf14	Conf2
Lycée Claude Lebois	N948	P948	27/03/2026	14:15	120501464JE	1STI2D	Conf3	Conf5	Conf12	Conf6	FM2
Lycée Claude Lebois	N949	P949	27/03/2026	14:15	120745172EA	1ERE2	Conf12	Conf13	Conf5	FM6	FM4
Lycée Claude Lebois	N950	P950	27/03/2026	14:15	120141193KH	1ERE3	Conf15	Conf3	Conf16	FM3	Conf2
Lycée Claude Lebois	N951	P951	27/03/2026	14:15	120564590AJ	1ERE4	Conf15	Conf13	Conf3	Conf9	TR4
Lycée Claude Lebois	N952	P952	27/03/2026	14:15	120911594HA	1ERE2	Conf18	Conf16	Conf9	Conf8	Conf17
Lycée Claude Lebois	N953	P953	27/03/2026	14:15	120501493FF	1ERE1	Conf3	Conf14	Conf15	Conf11	TR6
Lycée Claude Lebois	N954	P954	27/03/2026	14:15	120650832KG	1STI2D	Conf9	Conf1	Conf6	TR4	Conf2
Lycée Claude Lebois	N955	P955	27/03/2026	14:15	110921884EB	1ERE1	Conf11	Conf15	Conf8	Conf3	Conf16
Lycée Claude Lebois	N956	P956	27/03/2026	14:15	110066543DG	1ERE3	Conf18	Conf10	Conf16	TR2	Conf11
Lycée Claude Lebois	N957	P957	27/03/2026	14:15	110553139JK	1ERE4	Conf7	Conf5	Conf14	FM4	TR5
Lycée Claude Lebois	N958	P958	27/03/2026	14:15	110065391CE	1ERE2	Conf1	Conf18	Conf12	Conf15	Conf16
Lycée Claude Lebois	N959	P959	27/03/2026	14:15	120935135AD	1STMG2	Conf13	Conf17	Conf5	Conf15	Conf19
